Year,Hartlepool and Stockton-on-Tees,South Teesside,Darlington,Durham,Northumberland,Tyneside,Sunderland,West Cumbria,East Cumbria,Manchester,Greater Manchester South West,Greater Manchester South East,Greater Manchester North West,Greater Manchester North East,Blackburn with Darwen,Blackpool,Lancaster and Wyre,Mid Lancashire,East Lancashire,Chorley and West Lancashire,Warrington,Cheshire East,Cheshire West and Chester,East Merseyside,Liverpool,Sefton,Wirral,"Kingston upon Hull, City of",East Riding of Yorkshire,North and North East Lincolnshire,York,North Yorkshire CC,"Barnsley, Doncaster and Rotherham",Sheffield,Bradford,Leeds,Calderdale and Kirklees,Wakefield,Derby,East Derbyshire,South and West Derbyshire,Nottingham,North Nottinghamshire,South Nottinghamshire,Leicester,Leicestershire CC and Rutland,West Northamptonshire,North Northamptonshire,Lincolnshire CC,"Herefordshire, County of",Worcestershire CC,Warwickshire CC,Telford and Wrekin,Shropshire,Stoke-on-Trent,Staffordshire CC,Birmingham,Solihull,Coventry,Dudley,Sandwell,Walsall,Wolverhampton,Peterborough,Cambridgeshire CC,Suffolk CC,Norwich and East Norfolk,North and West Norfolk,Breckland and South Norfolk,Luton,Hertfordshire CC,Bedford,Central Bedfordshire,Southend-on-Sea,Thurrock,Essex Haven Gateway,West Essex,Heart of Essex,Essex Thames Gateway,Camden and City of London,Westminster,Kensington & Chelsea and Hammersmith & Fulham,Wandsworth,Hackney and Newham,Tower Hamlets,Haringey and Islington,Lewisham and Southwark,Lambeth,Bexley and Greenwich,Barking & Dagenham and Havering,Redbridge and Waltham Forest,Enfield,Bromley,Croydon,"Merton, Kingston upon Thames and Sutton",Barnet,Brent,Ealing,Harrow and Hillingdon,Hounslow and Richmond upon Thames,Berkshire,Milton Keynes,Buckinghamshire,Oxfordshire CC,Brighton and Hove,East Sussex CC,West Surrey,East Surrey,West Sussex (South West),West Sussex (North East),Portsmouth,Southampton,Isle of Wight,South Hampshire,Central Hampshire,North Hampshire,Medway,Kent Thames Gateway,East Kent,Mid Kent,West Kent,"Bristol, City of","Bath and North East Somerset, North Somerset and South Gloucestershire",Gloucestershire CC,Swindon,Wiltshire,Somerset CC,"Bournemouth, Christchurch and Poole",Dorset,Cornwall and Isles of Scilly,Plymouth,Torbay,Devon CC,Isle of Anglesey,Gwynedd,Conwy and Denbighshire,South West Wales,Central Valleys,Gwent Valleys,Bridgend and Neath Port Talbot,Swansea,Monmouthshire and Newport,Cardiff and Vale of Glamorgan,Flintshire and Wrexham,Powys,Aberdeen City and Aberdeenshire,"Caithness and Sutherland, and Ross and Cromarty","Inverness and Nairn, Moray, and Badenoch and Strathspey","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Na h-Eileanan Siar,Orkney Islands,Shetland Islands,Angus and Dundee City,Clackmannanshire and Fife,East Lothian and Midlothian,City of Edinburgh,Falkirk,"Perth and Kinross, and Stirling",West Lothian,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Glasgow City,"Inverclyde, East Renfrewshire, and Renfrewshire",North Lanarkshire,Scottish Borders,Dumfries and Galloway,East Ayrshire and North Ayrshire mainland,South Ayrshire,South Lanarkshire,Belfast,"Armagh City, Banbridge and Craigavon","Newry, Mourne and Down",Ards and North Down,Derry City and Strabane,Mid Ulster,Causeway Coast and Glens,Antrim and Newtownabbey,Lisburn and Castlereagh,Mid and East Antrim,Fermanagh and Omagh
1970 Q2,-0.439231106,1.802898126,-1.490617506,-1.183641365,-1.766669773,-0.704876622,1.041416264,1.310778375,3.198175902,0.358994158,0.275876302,1.091089959,-0.834061158,1.34551884,-0.031677438,-0.488308297,-0.098282302,-0.357873735,0.473398146,0.658635103,0.087876226,0.089537406,2.699686356,0.215882969,1.828843186,1.453681956,-0.435740727,0.646795816,0.292176121,1.549209627,0.721060312,-1.504678878,0.974487413,0.494569041,1.132420635,-0.430304438,-0.77705953,0.105063435,0.763234107,-0.486802343,-1.959600705,-1.405303497,-0.783828386,0.197676788,0.235691524,0.340194601,-0.184747334,0.061260533,-0.861635115,-1.050890971,0.625359204,1.149116473,0.90981593,1.054849367,0.536963243,0.005167355,0.361078456,0.276215169,-0.222321319,-0.789714411,-0.511919792,0.270182655,-1.163336756,1.094941769,-1.478485857,1.012476967,0.672334154,0.739864577,-0.419033397,-1.253142377,2.53920537,-0.308203691,-1.893135663,0.667555598,0.04274069,0.083939021,0.113787557,-1.521805315,-0.205398941,-0.694194552,0.929717319,-1.053203992,1.081594407,0.260389815,1.476449644,0.774421209,0.776060023,-0.560195552,-0.029041457,1.417686125,-0.39502946,-1.199235868,-0.388583477,1.215626589,0.134213083,0.169799689,-0.104348242,-1.423822823,1.156406724,-1.585753171,-1.341962286,-0.671571877,-0.575541401,0.519170522,0.601916446,-1.926712686,1.079579061,0.113182167,0.408120687,-0.331868574,-1.54768918,0.330774895,0.156535358,-1.570318393,0.017162833,1.004888449,-0.127278839,0.359014379,0.052542595,0.738123518,-2.983380481,1.221754521,0.128999856,-1.130506636,1.686903188,1.579165725,-0.578451028,-0.184608258,0.081981441,-0.49459562,-0.160283641,-0.835459371,0.951693225,0.776399852,-0.26895023,0.013649312,1.06592411,-0.341095512,-1.498882187,-0.211087535,-0.101200929,1.224792681,-0.149061066,-1.528057422,-0.311803727,2.440777599,0.960660594,-0.941331033,-0.836515412,0.109477958,1.232623071,-1.328267412,0.858227947,-0.382622116,0.33676333,0.728334737,-0.900849133,-1.018709483,0.872304146,-0.348585264,0.856481478,-0.504279649,-2.311655707,0.784982221,-0.62639694,0.272406473,-0.429260228,0.793835597,,,,,,,,,,,
1970 Q3,0.127472383,-1.292861065,-0.879417456,1.614901245,-1.29651182,1.140915457,-0.243391849,0.255913151,0.248229959,-0.358920065,-0.47205274,0.805282463,1.068147989,0.377547932,-0.20847497,-0.576082308,0.255170907,-0.178790065,0.074009254,0.713255403,0.547725384,-2.696266161,-0.258888947,1.204313602,2.940658619,0.14617045,-1.332989755,-0.856585907,0.514121454,0.179932576,3.681953266,-1.412307623,0.551868972,0.634247867,-0.9371371,1.974944818,-1.907278343,-1.413958126,-0.585578072,0.104297471,-0.014138486,-0.175801574,0.621035496,-0.810460148,-1.650144984,0.921204427,0.415510957,-0.426731228,0.991980093,-0.13585875,0.693137745,0.628466115,0.54535337,0.9533991,0.288298587,0.314994342,-0.615293351,0.579907377,-0.392434328,-1.333845898,0.640388095,-0.487317334,0.721675931,0.78262214,-0.711159803,-1.60121105,-0.060502097,-0.154670013,-0.283424364,0.128144083,1.579361662,-0.803723905,0.917545292,1.522701855,1.148682112,0.188271609,-0.017039231,-0.680254399,-0.185517076,0.034759571,-1.282388551,-1.13887625,-0.487759759,0.908242567,0.722652643,1.080750291,-0.784438109,-0.43786321,0.093237341,0.874504898,-0.711602477,1.791498034,-0.286420659,1.044727952,0.664814039,-0.25995704,2.018603253,0.290968956,0.534386129,2.15878998,0.602685329,1.83741301,-1.27231924,-1.080419749,-0.297151443,-0.195284178,-0.584510635,0.204491917,0.74058102,-0.100855642,0.159496842,0.796318901,0.506818033,-0.173718312,-1.040225656,1.559428835,-0.291696929,-0.915180954,-1.760477178,-1.13763847,-0.935317215,0.489054308,-1.027858926,-0.267339886,-0.020686014,1.740395364,0.66923647,1.007246648,-0.530491607,-0.765548159,0.35156188,0.00776635,1.500433919,0.913472706,-0.077781012,-0.538571709,0.931514731,0.178804672,-0.01792175,0.964994502,-0.090208726,-2.446306539,-0.69407353,0.051736861,1.248743116,2.490421039,2.206522037,0.449059388,0.142885424,-0.139121325,1.427996605,-1.329690839,1.245665525,1.170279208,-0.130649961,0.728578295,1.750224912,-0.776982877,-1.533297959,-0.156819212,0.785006182,-1.129394116,1.010350539,1.862109429,0.636868529,-0.437056209,0.088452726,-0.663079042,,,,,,,,,,,
1970 Q4,-0.30483102,-0.228901922,0.749017124,0.627029505,1.011280618,-0.313227024,-1.779717675,2.053221907,-0.06374152,1.184294628,0.637044879,1.385558535,0.044631404,1.004595071,1.491141049,-0.40770208,0.717274204,-0.333427428,0.977479957,-0.87802939,0.38043547,-0.868480638,0.411449234,-1.613310326,-0.772889882,1.719886793,1.350129197,-0.832975353,0.34918093,0.397307784,-0.051768985,-0.075965808,0.027398422,-0.458152653,-1.372239738,-0.923914383,1.108418053,-0.159462484,-0.062887278,-0.130216147,0.578534998,1.848773775,-0.958092001,0.283061147,-1.023153125,-0.672782466,0.622154531,1.483283885,-0.487814249,-0.111698605,0.849955714,-1.115662562,-0.478128144,-0.256287944,-1.117658774,-0.843312435,-0.277138555,-0.557569064,-0.116090794,-1.352056784,-0.180842795,-0.908913187,-0.08753026,-1.150035514,1.259481324,-0.645052641,-0.316352927,2.964422479,-0.793514815,0.750440001,0.089978825,1.788221652,-1.414184772,0.031641313,-0.250450849,-0.540101032,0.138112961,-0.980783489,1.229476076,0.00025645,-1.322079918,1.230347843,0.945662454,0.007193059,-2.239465053,-1.641152239,-0.575427202,1.090137925,-1.372562984,-0.138790363,0.698136165,0.873501273,-1.053686917,-0.176155704,-1.457244701,-2.308997696,0.405469459,0.220868082,-0.348801477,1.831638434,1.278485528,-0.604963241,0.420251525,0.177123017,1.593065973,-0.784355952,-0.900114949,0.114176641,-1.162503568,-1.439467217,-1.309835656,0.08989355,-0.199950904,-0.172908269,-0.446571663,0.185083021,-0.219492035,0.620798441,0.273108475,0.844729621,-1.101581542,-1.105830993,-0.409820794,-0.456577496,0.973872884,0.610882031,1.268930906,2.484329563,-0.202446138,0.423550157,1.570005236,-0.269711175,0.184946449,-1.52452197,1.06348621,1.555471585,0.905797251,0.669305162,-0.056801966,0.181062904,-1.583086232,1.361192346,-1.04822422,0.733296468,-1.939080695,1.706372042,-0.671516341,-1.204760005,0.688719518,1.459648686,1.722277193,0.328437136,-1.567400624,1.290645435,-0.903604458,-1.367156864,0.464030419,-1.248270774,0.491505436,-0.79347938,0.862790017,-0.224831801,-1.793594612,2.675788686,0.029910836,0.812160555,-0.028301897,-0.69480516,,,,,,,,,,,
1971 Q1,-0.512940907,0.588750422,1.112984984,1.029633916,0.375434757,-0.145191344,-1.037632512,-1.479474189,0.284936788,-0.913744217,-0.001037866,0.371686075,0.547379881,-0.106436565,0.635265091,0.246207213,-1.6196013,1.072531167,-0.64672959,-0.94256101,-0.004534703,0.100076886,-2.044571088,-1.774417533,0.573692217,1.2101718,-0.884296991,-0.967594497,0.086457127,-0.2579084,-2.034893158,-0.009177851,-0.017712921,1.275714642,-0.504046036,1.048453896,-1.08511263,-1.280253297,-0.85364161,-1.01881244,-0.334884988,0.862293206,1.178812973,0.34690928,-0.955331173,0.892058588,1.492971839,0.560161204,-0.539673628,-0.461616058,0.497184936,0.473084164,0.655872155,-0.166447142,-0.643328345,-0.04267917,0.234409649,-0.140403254,-1.090558038,0.420911421,-0.452646605,-0.3485075,0.143555666,-0.531679354,0.491310869,0.075374847,-0.844367466,-0.345208807,1.240470221,-0.364177327,0.048572159,-0.773602692,1.543881437,1.218660374,1.473538103,0.901292378,-0.331907477,0.156764254,-0.303930261,0.700762599,0.829958641,-2.698390859,-0.356372679,0.501670292,-1.154319102,-1.227303269,-0.708950528,-1.554396253,1.647862119,-1.146410736,-0.241971591,0.184349898,-0.367305408,-1.816047435,-0.210932463,-0.795478207,-0.071160754,2.875379387,-0.423008863,-0.312380019,0.683591251,-1.987661483,-1.544218266,-2.157545186,-1.097690716,0.661252302,-1.345530492,0.69932884,-0.47375393,1.694802769,1.338931216,-1.064000648,1.015468857,-0.003699878,0.469382625,-0.554983913,0.845361997,-0.165379107,-1.534070211,-0.959569388,-1.922498837,-0.235250678,-1.107405405,0.326651262,-0.868846466,-0.896818047,-0.086813695,1.17762695,-1.211112674,0.334642126,0.070885936,-0.562061354,1.267923109,-0.029623419,-1.270544125,-1.595699297,0.812551085,0.344644144,2.683838382,1.892354137,-0.031008807,-0.457476672,2.307989315,0.013392605,-0.702612749,-1.177390826,-0.547156512,1.207906206,1.792012929,-0.737064236,0.450329335,0.279532162,0.052960503,-0.019076662,-0.395298959,0.460305353,-0.179715674,-0.76742277,-0.713852549,-0.311525598,-0.580305639,1.375822474,-0.814369079,0.366222269,0.001780921,-0.371013176,0.428753507,-1.675952942,,,,,,,,,,,
1971 Q2,0.550364517,-1.281588796,1.181701739,1.295018314,-1.444949514,1.339685704,-0.208271456,-0.743503214,-1.839607937,-1.004402053,0.335256933,-0.449175477,1.788711641,-0.368527668,1.464362328,-0.847707251,-1.199004092,0.21185465,-1.663175623,-1.570201621,-1.121785624,0.130025811,1.240798034,-0.347568303,-0.071643849,1.685464842,-0.811988004,0.943774216,0.526888579,-0.573401661,-0.829481644,0.777020197,0.25133339,0.352815731,-0.568847057,-0.054292577,1.946560537,0.226366431,-0.455867845,-1.683457341,-0.192908005,-0.647661006,-1.732699798,0.0120012,-1.386475954,-0.349808282,-1.215256667,-0.251406939,-0.119715739,-0.525971743,0.080729154,0.573709959,-0.86448988,0.003001903,1.989690738,2.154651843,1.149409344,1.90718639,-0.1917408,-0.039832814,0.539641087,0.180481582,-0.250524218,-0.808815461,-2.587427804,-0.203304071,-1.783619725,0.902816172,-0.58305099,0.483845983,-0.638399905,-1.329167113,-0.119916875,0.698175837,-1.350262352,-0.10356768,0.766589829,-0.879926504,-0.522882033,0.719875247,1.543246121,-0.898596288,-0.224738017,-1.995463394,0.736211764,-0.956649323,0.352458592,-0.766598975,0.224697007,-0.660972732,0.988899814,-0.712431324,-2.279881177,1.506503257,0.204079461,-0.029356456,1.956580768,-0.393295859,-0.043803159,-2.419470791,0.647048446,-0.924573467,0.087030002,-1.325724052,0.389404098,1.690960349,-1.419949391,1.463885811,0.199271047,-1.978537831,-1.173373725,0.351690466,0.125216896,0.952915953,-1.511608676,0.281467587,1.317304056,0.248070148,1.724214983,-0.038153644,-0.069104874,-0.119565196,-0.563984349,-0.779988061,1.893461747,-0.094396122,0.941740023,1.751608385,0.086132023,-0.190144574,0.307210383,1.020328911,1.291630218,-0.653875955,-1.367357553,0.355952363,2.046442971,0.459190012,-1.857531935,0.645420614,-0.771659606,-1.260111147,-0.360055988,-0.453322381,-0.271667298,-0.256781236,0.483124276,0.566021917,-0.392644773,0.336865262,-2.144710578,-0.387143454,1.378609016,-0.838931363,-0.678115754,0.331398222,-1.089532606,-0.14299244,0.321093707,-1.103426258,0.852709972,-0.436241236,-1.411551574,-0.3067833,-1.062400448,1.326948059,0.930828544,0.327435747,,,,,,,,,,,
1971 Q3,-2.265264243,-0.839984691,-1.250959945,1.265837861,-1.362132981,-1.107954631,0.3084177,-0.692012886,0.717563653,-1.281781799,-1.136172829,-0.983602669,-0.497758305,0.430934908,0.325807138,0.126358145,-0.163106312,0.366343569,-0.511766263,-0.439383361,2.183311986,1.600822072,0.349508649,0.969545009,1.519270668,-1.783860481,-1.473691168,0.185583536,1.219018937,-0.502863819,0.486413093,-3.583192401,0.619186916,0.110280292,0.52821607,-0.712752512,-0.643422402,0.642451865,-0.937838284,0.228177385,0.661276464,-3.320653374,-0.523153952,1.744025338,-1.035982591,-1.558846552,2.085306485,-0.888715312,1.001322622,0.060166827,1.24104934,-0.501710224,0.029639633,0.672739089,-0.334272714,0.458759718,-0.043501808,0.326566116,0.370015042,-0.050372563,0.736061912,0.014119047,-1.60022968,0.152640865,0.652500902,0.265672701,0.39119201,0.237545354,-0.440750758,-0.207672664,0.005905426,1.54149222,0.370816509,-0.932461029,1.003298395,-1.847690295,0.692648942,0.953140616,0.12413717,-1.052183598,-0.119419173,0.79521938,-0.471889553,0.319881043,1.546863589,1.872415286,-0.552338932,1.236030201,-0.829271194,2.201051003,-0.433505466,0.675109718,-0.261443659,-0.139376667,-0.389038361,0.063168666,2.010677692,1.43117152,-0.306124334,0.658761005,-0.850523706,0.022008956,-0.585329437,-0.982326769,-0.656125834,0.034425979,0.464505424,-1.271537821,1.720060754,-0.248293461,-0.982841515,2.305147113,-1.05443861,0.580009189,-1.036968315,0.530925841,1.37277057,-0.010628186,-0.463569647,-0.106176412,-1.295468676,0.082698947,0.512249146,-0.127496329,1.029278856,0.142978826,-0.354576558,0.184960896,-0.563928104,1.025848428,-1.566259436,1.398524649,1.405209449,-0.250329918,0.140744841,0.90766079,0.407039613,0.570653076,1.339611278,-0.18870243,-0.018318853,-0.528035099,-0.232851109,1.577237786,0.687942327,0.643765558,-1.482140518,0.440590407,-0.559408762,-0.175989284,0.942279755,0.372881288,-0.654039686,0.164350891,-0.45641789,1.244418685,1.438731244,-0.07749263,-0.420444583,-0.650920229,-0.768392227,1.36737583,0.669224026,-0.418949003,-0.825750056,0.271253917,-0.390400593,1.514612687,,,,,,,,,,,
1971 Q4,0.169229183,1.018886991,-1.200617315,-0.745850463,0.043092503,1.24218007,1.996428452,-0.036755191,-0.78472017,1.344955209,-0.307517337,-0.592736191,-2.270450254,-1.947498962,0.074431198,1.217879563,1.619109402,-1.640587188,-0.504687201,0.596492252,-0.051144609,1.172530261,-1.159448793,0.385592935,0.892859629,0.342983419,-2.005999481,-0.762064828,1.410012524,0.299293936,-1.858304256,-0.817983523,0.5116815,0.793020161,-0.182891302,1.281860098,-1.309035911,-0.00179715,0.131473778,0.589644852,1.276078466,0.025294326,1.478633199,0.355411137,-0.00137435,0.585132992,-1.618957543,-0.539642426,2.525349742,1.534685789,0.527923215,0.568312922,-1.650284078,-0.072330994,-0.299934683,-0.433930937,0.288639032,0.500473669,-1.178503789,-1.58420428,0.514243709,0.208887125,-0.737402556,0.116530492,0.887725658,0.06039305,1.551588725,1.380605388,-1.423818287,0.615575359,0.729768397,0.879863922,-0.740832689,0.41769466,0.562098916,0.272310038,2.357345698,1.364259813,-0.399454172,1.431546078,-0.470207312,-1.685764732,2.06476241,0.21291345,0.500964655,-1.518421072,-0.809997498,0.783410534,0.615585829,-0.202409026,2.522578036,0.083620513,0.321477303,-0.277920075,-1.314592345,2.048393011,0.04692532,-0.397239824,1.383443731,1.777803807,-0.713286923,0.249093157,0.259013036,1.053370869,-0.772811989,-0.952033878,-0.473745721,1.175013153,-0.78180869,-0.480396638,1.623644375,0.384653769,1.594289941,-0.592652219,-1.29907814,-0.571733872,0.426851517,0.408328303,0.233335506,-0.229411526,0.468623954,-1.763154686,-0.269558572,1.759342216,-0.296872093,-1.270366215,0.75559663,0.476971696,0.330628046,-0.725378428,-0.015747346,0.371697981,-0.025328539,0.948434499,2.212732358,0.073614799,0.271182126,0.959562882,0.00422966,-0.07209951,1.071786756,0.474937747,-1.940261737,-0.355576697,-0.096052923,-0.046884809,-0.736005922,0.182265616,-1.988305111,0.790244473,-1.957149298,-0.808510605,-2.024599045,-1.409903074,-0.709691027,0.699522067,0.67597229,0.096681169,-1.879093093,-0.712233108,-0.183311355,1.363962743,-1.25394921,-1.350504515,1.477815949,0.109719639,0.709032069,1.115536822,,,,,,,,,,,
1972 Q1,2.1569968,-0.627627745,0.745040817,1.216055708,-0.795202663,-0.542798035,1.57635003,-0.815976931,0.016451464,0.913388885,-0.653992645,-1.260048562,0.009457022,-0.764887312,0.265359655,0.094542979,-0.767564643,-0.118762504,-0.626454784,1.291988532,-0.801944392,-1.725163154,0.103738758,-0.517019393,0.991444852,-0.468301087,0.591155251,0.139094966,-0.778723974,1.949635799,0.337233218,0.127099383,1.159773621,0.637852038,2.068757733,1.221624287,-1.899778728,-1.26601329,0.457581959,0.920560287,-0.234186666,0.238822477,1.054803178,-0.92470108,2.411662695,-1.116182601,0.853621585,-1.590609781,-1.585855722,0.216445942,1.680158012,0.464949133,0.464546833,-0.324915979,-0.91874089,1.250141066,-0.16008594,0.574281749,-1.829948071,-0.567871702,-0.387426122,1.663806677,0.027124689,-1.093126936,0.520896025,-0.779325761,-0.483113052,1.628679418,-0.092729542,-0.806734953,0.007916694,0.255139654,-0.120705279,-0.714765987,-1.879115583,0.378051952,0.157618156,0.182639048,-0.667474827,-1.327807338,-1.215725888,0.620005257,-0.673880039,-0.259575604,-0.640701083,0.358364009,-0.79918666,1.093422839,-0.793471883,-0.577674637,1.5907104,1.851975298,-1.74491155,-0.784792033,0.683638783,0.508128524,-0.290684721,-1.237505671,-1.450473926,-0.740535311,0.020054451,1.234819829,1.65284306,0.192925372,-0.557882927,-0.645787053,0.346669793,-0.543144873,-0.751052563,-0.208765389,0.404211322,0.389185147,-0.531905543,-0.366245442,-0.978520201,1.593019324,0.481749032,-1.683008097,-0.199737879,0.517104844,1.163633001,-0.942789059,-1.104128692,-0.005893979,2.452118039,-0.001877653,0.216910613,-0.286387711,1.510008534,2.475221882,-1.025208892,-0.761220432,0.397604086,-3.137099635,-0.903645974,-0.648578587,0.027513505,-0.636146309,-0.783284116,-2.181936866,0.239705617,0.347735476,0.710182519,-2.023109555,0.014377975,1.441402945,1.616058455,0.019971897,1.257353253,-1.275652475,1.243895227,1.248703478,0.116642074,-0.448475479,-0.56753823,-0.065068199,1.467981157,1.516024592,-0.494599365,-0.300875157,-1.204951114,1.00714638,-0.965147982,0.7748772,-1.40229374,-0.821652684,-0.045897992,1.627215423,,,,,,,,,,,
1972 Q2,0.093631142,-1.533184026,-0.523867719,0.059374343,-1.929368655,0.277404851,-2.702874126,-0.077236571,0.391240699,-0.177942412,-1.35470922,-0.495313283,0.50238617,-0.052678748,0.092372679,-0.399600505,-0.876001808,-2.018777462,0.034211524,-1.175305445,1.534927514,0.155422774,0.363287096,-0.418130271,-0.577839537,-0.95138806,-1.483376719,0.524306436,0.216304686,-0.672596446,1.063241826,0.077897364,0.435529283,0.038581093,-0.749244035,0.73114436,-0.63211262,0.84512038,-0.153323888,-1.350289504,1.635667554,0.430925574,0.663635587,0.960222953,0.784233804,-0.298676602,-0.217651485,0.370472374,-0.271553124,0.891929098,-0.044330366,0.384448152,-1.705818362,-1.514493317,-1.23837834,-0.476823963,0.631752698,-0.199694396,-0.729644039,-1.59764396,-1.104121561,0.304994343,0.997502524,0.84800195,-0.102432216,0.325514163,-2.039746729,-0.533055213,-0.935330719,-0.382934494,-1.505400749,0.947522452,1.441994249,0.298125472,1.375984767,-1.075869017,-1.85452559,0.27926538,0.721074265,-1.065595372,-1.01963274,0.213451328,1.763247098,-0.451858269,0.898129732,0.591249302,0.381556626,0.352343571,2.06058072,-1.380571197,0.239822611,0.957680563,-0.661051416,-1.626880251,-0.417419229,-0.586456558,0.056804878,1.419097696,-0.923055496,-0.188126741,-2.16034856,-0.228968064,1.324242591,0.232129782,-0.984309738,0.462537738,1.198330784,0.975535161,-1.524407071,-1.373396321,0.885601414,0.604511967,-0.856413294,-0.935067775,0.279223067,0.102759915,-0.77470086,-0.260741712,0.961340943,-0.831171206,0.538238474,0.149274578,-0.129493512,1.168269931,-0.696460806,1.195898989,-0.794091561,1.6774703,-0.318853131,-1.744474413,-1.406273198,2.510560722,-0.067779489,0.167947083,0.89645938,0.248531327,1.130865724,1.153728385,0.698531466,1.041569672,-1.479367463,0.124525484,-0.814574226,1.531155807,0.371576363,-1.088354995,0.695663459,0.936559939,-1.270870812,-0.233840071,0.479366055,-1.693921399,1.103749384,-0.050576561,-0.304514073,0.662722876,-2.085347482,0.944229057,-0.01433771,0.92332581,-1.748342202,-0.704835749,-0.409408746,-0.895293104,-1.054473495,0.304742631,-1.80408073,-0.169395205,,,,,,,,,,,
1972 Q3,-0.191292164,1.052286045,-1.353723882,1.453200427,0.620738539,0.591274188,-0.425994849,1.38286329,-0.64221295,1.343749504,-0.12980572,1.035920962,0.772434207,-0.401834936,-0.309688305,0.219366532,0.019266253,-0.849558585,-0.64744324,0.279565864,-1.835996146,-1.129599352,0.276764537,-1.576649345,0.545533417,0.489159352,0.853849268,-1.047574901,0.25903629,-0.885678399,-0.124559957,-1.94874493,-0.186797888,0.692123113,1.114043871,-1.357113265,0.470085204,1.678010259,-0.901846934,1.058835297,-0.028017747,-0.562910769,0.079328567,-0.264071292,-1.235868189,1.089066304,-1.446278618,0.007546471,0.754374742,-0.527394081,-0.79553286,0.110143346,-1.566864336,1.348628473,1.680050199,0.887304554,-1.454736915,0.388293116,1.036374545,2.562258815,0.148724184,1.79610076,-0.288860161,0.566867457,0.712722757,0.728378644,1.485905068,-0.797853092,1.16098205,-0.113565056,-0.66602417,-1.577165279,-1.619794616,0.210782205,-1.645936438,-0.247749612,0.989422154,0.402326403,0.91843832,1.381392272,-0.496421173,0.633023382,-0.897849281,0.178135103,-1.412768905,0.606012255,-0.75788522,-0.706898695,-2.345544314,0.630513269,0.406621487,-0.56678735,0.661559634,0.304832269,1.024746175,-0.756652894,-0.752396522,-0.568224632,1.122801349,0.16362498,-0.612348518,1.251173546,-1.02884699,-0.001758099,-0.898960609,0.45135858,-0.308757284,-0.326523732,-0.646592818,-1.201839469,0.478112792,-0.394904584,-0.207744106,0.367710512,0.641953536,-1.463569947,-0.14454396,-0.686651293,1.205081655,1.161431713,-0.88781371,0.154978114,-1.190487466,-2.616143534,1.113211965,0.440233945,-0.021173709,0.95515289,1.518105449,-1.79071118,0.774687114,1.090558549,1.017298906,0.473489979,-0.383585392,-0.512535362,-0.45181976,2.090776365,0.278317739,1.439519546,1.050735133,-0.672949901,0.992556832,-1.857618564,1.10932745,-0.228606515,-0.611077413,0.961006932,0.742081783,-1.550770749,-0.903399033,1.332465612,0.02861226,-0.261502946,-1.850851853,0.434758039,0.97026304,-1.408200374,0.576028256,-0.385227349,-1.167008883,-1.133488045,0.285113291,-0.234771344,1.109185179,-0.262951839,-0.359791161,-0.797803763,,,,,,,,,,,
